"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","dual_distance","dual_intensity","dual_return_matching"
0.03845902904868126,1.899343967437744,0.233257919549942,0.03845903037236922,1.899344003652605,0.2332579232774523,1.0,7.0,116.0,1.914,3985648484013.0,448484013.0,7.0,-1.0,-1.0,110.0
0.1154733076691628,5.127918720245361,0.08953084796667099,0.1154733061868727,5.12791869507968,0.08953084502326442,15.0,1.0,129.0,5.13,3985648484054.0,448484054.0,1.0,0.0,0.0,-1.0
0.09664931893348694,4.291986465454102,-0.9911343455314636,0.0966493218850325,4.291986441948556,-0.9911343454390691,1.0,2.0,129.0,4.406,3985648484056.0,448484056.0,-13.0,0.0,0.0,-1.0
0.1221171393990517,5.381227970123291,0.282090812921524,0.1221171409875796,5.381227757871926,0.2820908041494672,5.0,3.0,130.0,5.39,3985648484059.0,448484059.0,3.0,0.0,0.0,-1.0
0.1144979894161224,5.00695276260376,-0.9735075235366821,0.1144979879930414,5.006952902621605,-0.9735074944111316,3.0,4.0,131.0,5.102,3985648484061.0,448484061.0,-11.0,0.0,0.0,-1.0
0.1183379888534546,5.174874782562256,0.4528612494468689,0.1183379912011679,5.174874763485866,0.4528612393168318,1.0,5.0,131.0,5.196,3985648484063.0,448484063.0,5.0,0.0,0.0,-1.0
0.1149466037750244,4.988477230072021,-0.7903069257736206,0.1149466050726522,4.988477348281585,-0.7903069173832464,15.0,6.0,132.0,5.052,3985648484066.0,448484066.0,-9.0,0.0,0.0,-1.0
0.1274911016225815,5.491270542144775,0.674424946308136,0.1274911005464519,5.491270618986947,0.6744249464040861,1.0,7.0,133.0,5.534,3985648484068.0,448484068.0,7.0,1.0,1.0,151.0
0.1158339828252792,4.989177703857422,-0.6127590537071228,0.1158339814867294,4.989177569979469,-0.6127590586410816,22.0,8.0,133.0,5.028,3985648484070.0,448484070.0,-7.0,0.0,0.0,-1.0
0.1217693239450455,5.205668926239014,0.8247225284576416,0.1217693261686054,5.205668932011147,0.8247224996920972,1.0,9.0,134.0,5.272,3985648484073.0,448484073.0,9.0,0.0,0.0,-1.0
0.1165280491113663,4.981603145599365,-0.4359530210494995,0.1165280523085638,4.981603172957818,-0.4359530252237862,19.0,10.0,134.0,5.002,3985648484075.0,448484075.0,-5.0,0.0,0.0,-1.0
0.1266891956329346,5.375861167907715,1.045251727104187,0.1266891888565645,5.375861120029027,1.045251676672712,4.0,11.0,135.0,5.478,3985648484077.0,448484077.0,11.0,0.0,0.0,-1.0
0.1186508238315582,4.99773120880127,-0.261993795633316,0.1186508202854653,4.997731208578966,-0.2619937969521768,30.0,12.0,136.0,5.006,3985648484079.0,448484079.0,-3.0,0.0,0.0,-1.0
